Trials,Precision,Regret,CumulativeRegret
228,92.0,0.628,399.895
229,92.4,0.660,400.555
230,91.6,0.599,401.154
231,92.4,0.635,401.789
232,91.0,0.674,402.462
233,92.6,0.602,403.064
234,92.0,0.517,403.581
235,92.2,0.597,404.177
236,91.8,0.690,404.868
237,92.2,0.725,405.593
238,92.2,0.573,406.166
239,92.2,0.464,406.631
240,93.0,0.615,407.246
241,92.4,0.603,407.849
242,92.4,0.611,408.461
243,92.4,0.538,408.999
244,92.2,0.552,409.551
245,91.8,0.647,410.198
246,92.2,0.633,410.830
247,91.6,0.617,411.448
248,92.6,0.620,412.068
249,92.6,0.622,412.690
250,91.8,0.678,413.368
251,92.4,0.572,413.939
252,92.6,0.540,414.479
253,91.6,0.618,415.097
254,93.2,0.600,415.697
255,93.4,0.533,416.231
256,93.4,0.500,416.731
257,93.4,0.536,417.267
258,92.8,0.471,417.738
259,92.2,0.660,418.398
260,93.6,0.515,418.913
261,92.6,0.540,419.454
262,93.0,0.560,420.014
263,94.2,0.660,420.674
264,92.4,0.526,421.200
265,94.2,0.495,421.695
266,93.0,0.504,422.200
267,93.4,0.444,422.643
268,92.6,0.466,423.109
269,92.6,0.543,423.652
270,94.0,0.466,424.118
271,93.6,0.595,424.713
272,94.0,0.595,425.308
273,93.2,0.435,425.743
274,93.6,0.541,426.284
275,93.4,0.628,426.912
276,93.6,0.599,427.511
277,93.8,0.397,427.909
278,94.6,0.510,428.418
279,93.6,0.482,428.901
280,93.8,0.522,429.423
281,94.6,0.491,429.914
282,94.2,0.532,430.446
283,93.8,0.567,431.013
284,93.8,0.524,431.537
285,92.8,0.572,432.109
286,94.6,0.497,432.606
287,94.2,0.421,433.027
288,94.2,0.489,433.516
289,95.2,0.501,434.016
290,95.2,0.520,434.536
291,94.4,0.501,435.037
292,94.8,0.467,435.504
293,94.0,0.386,435.890
294,93.8,0.490,436.381
295,95.2,0.410,436.791
296,94.4,0.480,437.271
297,95.4,0.429,437.700
298,93.8,0.493,438.194
299,94.2,0.504,438.698
300,95.0,0.415,439.113
301,94.8,0.440,439.553
302,95.0,0.481,440.034
303,94.6,0.533,440.568
304,95.4,0.431,440.999
305,95.0,0.552,441.551
306,93.4,0.521,442.072
307,94.8,0.404,442.476
308,94.8,0.450,442.925
309,94.0,0.398,443.323
310,94.6,0.426,443.748
311,94.6,0.482,444.230
312,93.6,0.458,444.688
313,95.4,0.416,445.104
314,93.6,0.510,445.615
315,94.2,0.447,446.061
316,94.6,0.472,446.534
317,94.6,0.401,446.935
318,94.8,0.449,447.383
319,94.4,0.412,447.796
320,94.6,0.375,448.171
321,95.4,0.369,448.540
322,95.2,0.485,449.026
