Trials,Precision,Regret,CumulativeRegret
989,99.4,0.150,618.992
990,99.4,0.166,619.158
991,99.4,0.191,619.349
992,99.4,0.199,619.548
993,99.6,0.137,619.685
994,99.2,0.179,619.864
995,99.6,0.188,620.052
996,99.6,0.186,620.238
997,99.4,0.155,620.393
998,99.8,0.181,620.574
999,99.6,0.174,620.749
1000,99.4,0.144,620.893
